Domain,pgid,ExpID,Submitted,SubmissionTime,Running,Error,ErrorTime,Finished,FinishedTime,Restart,InverseIterations,InverseIterationsDone,SpinupYears,SpinupYearsDone,InvertFor,GradientCalc,gsC,gsA,gaC,gaA,Measurements,Velocity,startGeometry,startMesh,SlidingLaw,m,muk,priorC,startC,n,priorAGlen,startAglen,Comments
AS_PROPHET,0,1223,0,17-May-2024 09:20:01,0,0,16-May-2024 14:44:12,0,15-May-2024 13:55:49,0,10000+1000+1000+1000+1000+1000+1000,14000,100+100+100+100+100+100,300,-logA-logC-,Adjoint,100000,100000,1,250,-uv-,2000,2000,AS_PROPHET_2000,Weertman,3,0.5,0.0015,0,3,0.00000000504,0,NaN
AS_PROPHET,0,1585,0,17-May-2024 09:20:01,0,0,16-May-2024 14:44:12,0,15-May-2024 13:55:49,0,10000+1000+1000+1000+1000+1000+1000,14000,100+100+100+100+100+100,300,-logA-logC-,Adjoint,100000,100000,1,250,-uv-,2000,2000,AS_PROPHET_2000,Cornford,3,0.5,0.0015,0,3,0.00000000504,0,NaN
