Domain,pgid,ExpID,Submitted,SubmissionTime,Running,Error,ErrorTime,Finished,FinishedTime,Restart,InverseIterations,InverseIterationsDone,SpinupYears,SpinupYearsDone,InvertFor,GradientCalc,gsC,gsA,gaC,gaA,Measurements,Velocity,startGeometry,startMesh,SlidingLaw,m,muk,priorC,startC,n,priorAGlen,startAglen,Comments
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,174571.7,243654.9,15.6,74.7,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.69,0.5,1.53217596379716E-07,1317,3.42,8.06130944434931E-10,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,467920.8,62726.9,2.1,69.9,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.66,0.5,1.71147454716068E-07,1933,2.6,2.93048418387403E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,386958,214985.3,28.9,60.9,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.56,0.5,2.47500707012534E-07,1706,3.18,2.30752911468164E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,242615.4,482582.2,31.7,56,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.48,0.5,3.32461410578497E-07,1694,3.44,7.3848859522893E-10,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,169887.4,181859.7,30.3,42.6,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.36,0.5,5.17593057093218E-07,1171,3.22,1.93652714869864E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,229311.8,154011,87.6,18.5,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.27,0.5,7.21396185134757E-07,1849,2.62,2.68458761350081E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,189338.8,465546.8,25.8,70.5,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.23,0.5,8.36096183481892E-07,1849,2.55,3.64832804059986E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,374820.2,441966.4,42.8,22.9,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.14,0.5,1.16531044785815E-06,1171,3.07,3.73669015590148E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,142128.2,326059.8,2.9,92,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,5.04,0.5,1.68518521185408E-06,1694,3.41,8.42241219967893E-10,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,301984.3,187518.9,47.7,35.6,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.93,0.5,2.5285656765992E-06,1171,3.06,3.90407352214292E-09,0,
